Can bus setup done...
Succeful to send start motor command
Succeful to send start motor command
Succeful to send start motor command
16.00 13.33 -0.38 0.63 -1.14 1.69
16.00 13.33 -0.38 0.63 -1.09 1.73
16.00 13.33 -0.38 0.63 -1.09 1.72
16.00 13.33 -0.38 0.63 -1.16 1.73
16.00 13.33 -0.38 0.63 -1.16 1.80
16.00 13.33 -0.38 0.63 -1.11 1.83
16.00 13.33 -0.38 0.63 -1.16 1.84
16.00 13.33 -0.38 0.63 -1.14 1.92
16.00 13.33 -0.38 0.63 -1.13 1.95
16.00 13.33 -0.38 0.63 -1.17 1.92
16.00 13.33 -0.38 0.63 -1.14 1.91
16.00 13.33 -0.38 0.63 -1.17 1.91
16.00 13.33 -0.38 0.63 -1.11 1.91
16.00 13.33 -0.38 0.63 -1.14 1.88
16.00 13.33 -0.38 0.63 -1.14 1.92
16.00 13.33 -0.38 0.63 -1.13 1.95
16.00 13.33 -0.38 0.63 -1.13 2.03
16.00 13.33 -0.38 0.63 -1.11 2.02
16.00 13.33 -0.38 0.63 -1.13 1.92
16.00 13.33 -0.38 0.63 -1.13 1.84
16.00 13.33 -0.38 0.63 -1.09 1.78
16.00 13.33 -0.38 0.63 -1.13 1.83
16.00 13.33 -0.38 0.63 -1.13 1.88
16.00 13.33 -0.38 0.63 -1.06 1.91
16.00 13.33 -0.38 0.63 -1.09 1.86
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.17 1.81
16.00 13.33 -0.38 0.63 -1.13 1.78
16.00 13.33 -0.38 0.63 -1.14 1.75
16.00 13.33 -0.38 0.63 -1.14 1.75
16.00 13.33 -0.38 0.63 -1.19 1.83
16.00 13.33 -0.38 0.63 -1.19 1.92
16.00 13.33 -0.38 0.63 -1.22 1.92
16.00 13.33 -0.38 0.63 -1.22 1.98
16.00 13.33 -0.38 0.63 -1.25 1.97
16.00 13.33 -0.38 0.63 -1.23 1.95
16.00 13.33 -0.38 0.63 -1.25 1.88
16.00 13.33 -0.38 0.63 -1.19 1.86
16.00 13.33 -0.38 0.63 -1.27 1.88
16.00 13.33 -0.38 0.63 -1.22 1.92
16.00 13.33 -0.38 0.63 -1.28 1.86
16.00 13.33 -0.38 0.63 -1.33 1.89
16.00 13.33 -0.38 0.63 -1.39 1.67
16.00 13.33 -0.38 0.63 -1.20 1.58
16.00 13.33 -0.38 0.63 -1.22 1.73
16.00 13.33 -0.38 0.63 -1.36 1.84
16.00 13.33 -0.38 0.63 -1.41 1.89
16.00 13.33 -0.38 0.63 -1.34 1.88
16.00 13.33 -0.38 0.63 -0.89 1.78
16.00 13.33 -0.38 0.63 -1.38 1.64
16.00 13.33 -0.38 0.63 -1.14 1.69
16.00 13.33 -0.38 0.63 -1.19 1.75
16.00 13.33 -0.38 0.63 -1.45 1.80
16.00 13.33 -0.38 0.63 -1.30 1.81
16.00 13.33 -0.38 0.63 -1.22 1.84
16.00 13.33 -0.38 0.63 -1.25 1.83
16.00 13.33 -0.38 0.63 -1.02 1.84
16.00 13.33 -0.38 0.63 -1.13 1.84
16.00 13.33 -0.38 0.63 -1.20 1.83
16.00 13.33 -0.38 0.63 -1.20 1.88
16.00 13.33 -0.38 0.63 -1.33 1.84
16.00 13.33 -0.38 0.63 -1.16 1.89
16.00 13.33 -0.38 0.63 -1.27 1.88
