,,Xie0406:LASI,,,Xie0406:RASI,,,Xie0406:LPSI,,,Xie0406:RPSI,,,Xie0406:LTHI,,,Xie0406:LKNE,,,Xie0406:LTIB,,,Xie0406:LANK,,,Xie0406:LHEE,,,Xie0406:LTOE,,,Xie0406:RTHI,,,Xie0406:RKNE,,,Xie0406:RTIB,,,Xie0406:RANK,,,Xie0406:RHEE,,,Xie0406:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
98,0,,,,,,,,,,,,,,,,,,,510.092,1702.14,533.665,696.455,1693.53,275.299,,,,841.42,1657.82,430.827,72.4351,1328.86,424.27,,,,220.18,1332.49,52.4144,,,,,,,,,
99,0,,,,,,,,,,,,,,,,,,,515.577,1699.7,540.373,704.35,1689.57,283.798,,,,847.35,1655.39,441.465,72.3774,1328.51,424.515,,,,220.187,1332.5,52.4167,,,,,,,,,
100,0,,,,,,,,,,,,,,,,,,,520.815,1697.33,547.072,711.708,1685.69,291.834,,,,852.966,1652.98,451.638,72.356,1328.17,424.464,,,,220.181,1332.51,52.4453,,,,,,,,,
101,0,,,,,,,,,,,,,,,,,,,525.836,1695.04,553.681,718.72,1682.22,299.666,,,,857.887,1650.38,461.514,71.8807,1328.77,424.18,,,,219.956,1332.75,52.4131,,,,,,,,,
102,0,,,,,,,,,,,,,,,,,,,530.714,1692.88,560.092,724.993,1678.94,307.582,,,,862.495,1647.78,470.991,71.7813,1328.76,424.131,,,,220.07,1332.59,52.5624,,,,,,,,,
103,0,,,,,,,,,,,,,,,,,,,535.507,1690.93,566.694,730.874,1675.92,315.058,,,,866.719,1644.95,480.156,71.3366,1326.44,423.743,,,,219.032,1332.82,52.7028,,,,,,,,,
104,0,,,,,,,,,,,,,,,,,,,539.763,1688.96,573.045,736.261,1672.91,322.093,,,,870.333,1642.2,488.917,71.1215,1326.09,423.504,,,,218.963,1332.67,52.9516,,,,,,,,,
105,0,,,,,,,,,,,,,,,,,,,544.038,1687.17,579.387,741.035,1670.28,329.067,,,,873.746,1639.43,497.046,71.2051,1325.91,423.385,,,,218.874,1332.73,53.133,,,,,,,,,
106,0,,,,,,,,,,,,,,,,,,,547.899,1685.39,585.44,745.473,1667.88,335.624,,,,876.897,1636.86,504.632,71.2916,1325.54,423.312,,,,218.74,1332.79,53.3056,,,,,,,,,
107,0,,,,,,,,,,,,,,,,,,,551.331,1683.73,591.29,749.347,1665.26,341.631,,,,879.642,1634.48,511.665,71.2911,1325.39,423.259,,,,218.636,1332.84,53.4586,,,,,,,,,
108,0,,,,,,,,,,,,,,,,,,,554.812,1682.14,596.889,752.541,1662.89,347.306,,,,882.091,1632.3,518.108,72.3113,1324.76,424.374,,,,218.536,1332.85,53.5867,,,,,,,,,
109,0,,,,,,,,,,,,,,,,,,,557.789,1680.68,602.303,755.611,1660.54,352.713,,,,884.397,1630.35,524.176,72.9934,1322.4,422.533,,,,218.49,1332.88,53.6997,,,,,,,,,
